experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9209648370742798, max_false: 0.719264030456543, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.951299786567688, max_false: 0.8999884128570557, correct: True
in: torch.Size([88, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8831536769866943, max_false: 0.8525970578193665, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9480918645858765, max_false: 0.953761637210846, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9739284515380859, max_false: 0.9393089413642883, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8646235466003418, max_false: 0.8384823203086853, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9778727293014526, max_false: 0.9560031294822693, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9451380372047424, max_false: 0.9606673121452332, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9429122805595398, max_false: 0.8963879346847534, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8687601685523987, max_false: 0.8827419281005859, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9217403531074524, max_false: 0.7954027652740479, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.7807182669639587, max_false: 0.8340107202529907, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.912441611289978, max_false: 0.8856168389320374, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9081427454948425, max_false: 0.923261284828186, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.889592707157135, max_false: 0.8401431441307068, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9631453156471252, max_false: 0.9360211491584778, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9578925371170044, max_false: 0.9365095496177673, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9598271250724792, max_false: 0.9608479738235474, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9997873902320862, max_false: 0.8491073250770569, correct: True
