experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people walking dogs outdoors on leashes, while `cat_1` images show people interacting with dogs in close proximity, such as holding, petting, or bathing them.\nRule: The presence of a person walking a dog on a leash outdoors.\nTest Image: A corgi dog sitting outdoors with people in the background.\nConclusion: cat_2']
1 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images depict people walking dogs outdoors, while `cat_1` images show people interacting with dogs in close proximity, such as holding, petting, or bathing them.\nRule: The distinguishing rule is that `cat_2` images show people walking dogs outdoors, whereas `cat_1` images show people interacting with dogs in close proximity.\nTest Image: The test image shows a couple kissing a dog on the face in close proximity.\nConclusion: cat_1']
2 | expected:'cat_2' | got='cat_2' | full: ["Analysis: The `cat_2` images depict two people embracing each other with one person's arms around the other's neck or shoulders, while `cat_1` images do not show this specific embrace pattern.\nRule: The distinguishing rule is that `cat_2` images show one person hugging the other around the neck or shoulders.\nTest Image: The test image shows a woman hugging a man around his neck.\nConclusion: cat_2"]
3 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images depict individuals in close physical contact, specifically hugging or embracing, while the `cat_1` images do not consistently show this close physical contact, instead showing other forms of interaction like handshakes or pointing.\nRule: Individuals are engaged in a hug or embrace.\nTest Image: The test image shows two individuals in a close physical contact, specifically kissing.\nConclusion: cat_2']
4 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images feature people with motorcycles in a stationary or non-stunt context, often in groups or with others around, suggesting a social or casual setting. The `cat_1` images depict individuals performing stunts or racing, emphasizing action and movement.\nRule: The presence of people with motorcycles in a non-stunt, stationary, or social context.\nTest Image: A group of police officers on motorcycles lined up in a stationary formation.\nConclusion: cat_2']
5 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images feature people sitting on motorcycles in a stationary or casual setting, while `cat_1` images depict dynamic action, such as stunts or racing, with motorcycles in motion.\nRule: People are sitting on motorcycles in a stationary or casual setting.\nTest Image: A woman is sitting on a stationary Harley-Davidson motorcycle in a casual setting.\nConclusion: cat_2']
6 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images feature motorcycles that are primarily used for road riding, including street motorcycles, touring bikes, and even a toy motorcycle. These are designed for paved roads and highways. The `cat_1` images, on the other hand, show motorcycles that are either off-road bikes, such as dirt bikes, or motorcycles in contexts that do not involve road riding, like maintenance or stunts.\nRule: The distinguishing rule is that `cat_2` images depict motorcycles designed for and used on paved roads, while `cat_1` images do not.\nTest Image: The test image shows a group of people riding motorcycles on a paved road.\nConclusion: cat_2']
7 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The `cat_2` images feature motorcycles being ridden on paved roads or paths, or motorcycles being used in a context that suggests regular, non-stunt riding. The `cat_1` images show motorcycles being used for off-road riding, stunts, or maintenance, which are not typical road riding scenarios. The test image shows a person washing a motorcycle, which is not related to riding the motorcycle on a road or in a non-road context.\nRule: The distinguishing rule is whether the motorcycle is being used for regular road riding or not.\nTest Image: A person washing a motorcycle.\nConclusion: cat_1']
8 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images all feature a single dog being held or closely interacted with by a person, while the `cat_1` images either show multiple dogs, dogs not being held, or dogs interacting with objects rather than people.\nRule: The image must show a single dog being held or closely interacted with by a person.\nTest Image: A man and a woman are sitting together with a dog on their lap.\nConclusion: cat_2']
9 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The `cat_2` images all show a single dog being held or closely interacted with by a person, while the `cat_1` images show dogs either not being held, interacting with multiple dogs, or not having close interaction with a person.\nRule: The dog is being held or closely interacted with by a person.\nTest Image: A dog is in a bath being washed by a person, not being held.\nConclusion: cat_1']
10 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The `cat_2` images depict individuals using laptops in a manner that suggests productivity or work, with a focus on typing or interacting with the keyboard. The `cat_1` images show individuals using laptops in a non-productive manner, such as holding them, repairing them, or using them in a casual or non-work-related context.\nRule: The distinguishing rule is that `cat_2` images show individuals using laptops for productive work, while `cat_1` images do not.\nTest Image: The test image shows a person sitting on a couch using a laptop, which appears to be in a casual setting.\nConclusion: cat_1']
