experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict people walking dogs outdoors, while the cat_1 images show people interacting with dogs in close proximity, such as holding, petting, or bathing them. The test image shows a dog outdoors but not being walked by a person.\nRule: The presence of a person walking a dog outdoors.\nTest Image: A dog outdoors wearing a bandana.\nConclusion: cat_1']
1 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict people walking dogs outdoors, while the cat_1 images show people interacting with dogs in close proximity, such as holding, petting, or bathing them. The test image shows a couple kissing a dog, which is a close interaction.\nRule: The distinguishing rule is whether the image shows people walking dogs outdoors (cat_2) or interacting with dogs in close proximity (cat_1).\nTest Image: A couple kissing a dog, indicating close interaction.\nConclusion: cat_1']
2 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images depict individuals in close physical contact, specifically hugging or embracing, while the cat_1 images do not consistently show this close physical contact or embrace.\nRule: The presence of a hug or embrace between individuals.\nTest Image: The test image shows two individuals in a close embrace, with one person hugging the other from behind.\nConclusion: cat_2']
3 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images depict individuals in close physical contact, specifically hugging or embracing, while the cat_1 images do not consistently show this type of close physical contact. The cat_1 images either show no physical contact or a different type of interaction that does not involve hugging.\nRule: The images in cat_2 show individuals hugging or embracing each other.\nTest Image: The test image shows two individuals kissing closely.\nConclusion: cat_2']
4 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images show people with motorcycles in a stationary or casual setting, often in groups, and not performing stunts or high-speed activities. The cat_1 images depict motorcycles in motion, performing stunts, or in a racing context, indicating a focus on dynamic action. The test image shows a group of people on motorcycles in a stationary formation, similar to the cat_2 images.\nRule: The distinguishing rule is whether the motorcycles are stationary or in a casual setting (cat_2) versus in motion, performing stunts, or in a racing context (cat_1).\nTest Image: The test image shows a group of people on motorcycles in a stationary formation.\nConclusion: cat_2']
5 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images depict people with motorcycles in a stationary or casual setting, often in groups or with others around. The cat_1 images show motorcycles in motion, performing stunts, or in a racing context, emphasizing dynamic action. The test image shows a person sitting on a motorcycle in a static pose, with no indication of motion or stunts.\nRule: The distinguishing rule is that cat_2 images feature motorcycles in stationary or casual settings, while cat_1 images feature motorcycles in motion or performing stunts.\nTest Image: A person sitting on a Harley-Davidson motorcycle in a static pose.\nConclusion: cat_2']
6 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images feature motorcycles that are primarily used for road riding, including street bikes, touring bikes, and even a toy motorcycle. The cat_1 images, on the other hand, show motorcycles that are either off-road bikes, racing bikes, or motorcycles being worked on or used in a non-road context. The test image shows a group of people riding motorcycles on a road, which aligns with the road-riding context of cat_2.\nRule: The distinguishing rule is whether the motorcycle is used for road riding.\nTest Image: The test image shows a group of people riding motorcycles on a road.\nConclusion: cat_2']
7 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images feature motorcycles that are either being ridden on roads, part of a group ride, or are toy motorcycles. The cat_1 images show motorcycles in off-road settings, being worked on, or performing stunts. The test image shows a person washing a motorcycle, which is not related to riding or playing with the motorcycle.\nRule: The distinguishing rule is that cat_2 images involve motorcycles being ridden on roads or are toy motorcycles, while cat_1 images involve off-road, maintenance, or stunt activities.\nTest Image: A person washing a motorcycle.\nConclusion: cat_1']
8 | expected:'cat_2' | got='cat_2' | full: [" Analysis: The cat_2 images all feature a single dog being held or closely interacted with by a person, while the cat_1 images either show multiple dogs, a dog not being held, or a dog interacting with a person in a way that doesn't involve being held.\nRule: The dog is being held by a person.\nTest Image: A man and a woman are sitting on a bench with a dog on the woman's lap.\nConclusion: cat_2"]
9 | expected:'cat_1' | got='cat_1' | full: [" Analysis: The cat_2 images all feature a single dog being held or closely interacted with by a person, while the cat_1 images either show multiple dogs, a dog not being held, or a dog interacting with a person in a way that doesn't involve being held.\nRule: The dog is being held or closely interacted with by a person.\nTest Image: A dog is being bathed by a person, not being held.\nConclusion: cat_1"]
10 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images all depict individuals actively using laptops for typing or working, with a focus on the hands interacting with the keyboard. The cat_1 images show people with laptops but not actively typing or working on them; instead, they are holding, repairing, or using the laptop in a non-typing manner. The test image shows a person sitting on a couch with a laptop on their lap, but they are not actively typing or working on it.\nRule: Individuals are actively typing or working on the laptop.\nTest Image: A person sitting on a couch with a laptop on their lap, not actively typing.\nConclusion: cat_1']
11 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images show individuals actively using laptops for typing or working, while the cat_1 images depict people interacting with laptops in non-typical ways such as holding them, repairing them, or using them in unconventional settings. The test image shows a person sitting and actively using a laptop, which aligns with the cat_2 images.\nRule: Individuals are actively using laptops for typing or working.\nTest Image: A person sitting on a chair outdoors, actively using a laptop.\nConclusion: cat_2']
12 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals actively riding motorcycles, either on roads, tracks, or in motion, while cat_1 images show people interacting with motorcycles in stationary positions, such as repairing, inspecting, or posing with them. The test image shows individuals riding dirt bikes, which is a form of active riding.\nRule: The images in cat_2 show motorcycles in motion with riders actively engaged in riding, whereas cat_1 images show motorcycles in stationary positions with people interacting with them in non-riding activities.\nTest Image: The test image shows individuals actively riding dirt bikes in a training environment.\nConclusion: cat_2']
13 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals actively riding motorcycles, either on roads, tracks, or in motion, while cat_1 images show people interacting with motorcycles in stationary positions, such as repairing, inspecting, or posing with them. The test image shows a person actively riding a motorcycle in a forest setting.\nRule: Individuals are actively riding motorcycles.\nTest Image: A person is riding a motorcycle in a forest.\nConclusion: cat_2']
14 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals riding motorcycles in urban or public settings, often with other people or vehicles around, suggesting a focus on leisure or commuting. The cat_1 images show individuals engaged in more extreme or specialized activities like racing, stunts, or maintenance, which are not typical for everyday riding.\nRule: The images in cat_2 depict motorcycles used for leisure or commuting in public or urban settings, while cat_1 images show motorcycles used for specialized activities like racing, stunts, or maintenance.\nTest Image: The test image shows a group of individuals riding motorcycles on a road in a national park, which is a public and leisure setting.\nConclusion: cat_2']
15 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals riding motorcycles in urban or public settings, often with other people or vehicles around, suggesting a focus on leisure or commuting. The cat_1 images show individuals engaged in more extreme or specialized activities like racing, stunts, or maintenance, which are not typical of everyday riding.\nRule: The images in cat_2 depict motorcycles being used for leisure or commuting in public or urban settings, while cat_1 images show motorcycles used for specialized activities like racing, stunts, or maintenance.\nTest Image: A person riding a motorcycle on a road, seemingly in a public setting, wearing casual riding gear.\nConclusion: cat_2']
16 | expected:'cat_2' | got='cat_2' | full: [" Analysis: The `cat_2` images all depict individuals inside the driver's cabin of a train, interacting with the controls and instruments. The `cat_1` images show various scenes related to trains but not from the perspective of the driver's cabin, such as passengers inside a train, people boarding, or individuals looking out from a train window.\nRule: The distinguishing rule is that `cat_2` images show individuals in the driver's cabin of a train, while `cat_1` images do not.\nTest Image: The test image shows a person sitting in the driver's cabin of a train, interacting with the controls.\nConclusion: cat_2"]
17 | expected:'cat_1' | got='cat_1' | full: [" Analysis: The `cat_2` images all depict individuals inside the driver's cabin of a train, interacting with the controls or seated in the operator's position. The `cat_1` images show various scenes of passengers inside train carriages, people outside the train, or individuals not in the driver's cabin. The `test image` shows a group of people standing on a platform waiting for a train, which is outside the train and not in the driver's cabin.\nRule: The distinguishing rule is that `cat_2` images show individuals in the driver's cabin of a train, while `cat_1` images do not.\nTest Image: The test image shows people on a train platform waiting for a train.\nConclusion: cat_1"]
18 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict individuals cleaning or polishing motorcycles, while the cat_1 images show motorcycles in various contexts such as racing, police use, and riding on roads, but not being cleaned.\nRule: The images in cat_2 involve the act of cleaning or polishing motorcycles.\nTest Image: A man is cleaning a motorcycle with a cloth.\nConclusion: cat_2']
19 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict motorcycles being cleaned or maintained, with a focus on hands or individuals performing the cleaning. The cat_1 images show motorcycles in various dynamic or outdoor settings, such as racing, riding, or being used in public spaces. The test image shows a person riding a motorcycle on a road, which aligns with the dynamic use of motorcycles seen in cat_1 images.\nRule: The distinguishing rule is whether the image shows a motorcycle being cleaned or maintained (cat_2) or in use or a dynamic setting (cat_1).\nTest Image: A person riding a motorcycle on a road.\nConclusion: cat_1']
20 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals engaged in activities that involve holding or carrying objects, such as balls, while the cat_1 images show individuals engaged in activities where they are not holding or carrying objects, like kicking a ball or playing with a racket. The test image shows a family walking, and none of them are holding or carrying any objects.\nRule: Individuals are holding or carrying objects.\nTest Image: A family walking without holding or carrying objects.\nConclusion: cat_1']
21 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals engaged in activities that are not competitive sports, such as playing with balls in a casual setting, participating in a parade, or practicing a sport in a non-competitive manner. The cat_1 images show individuals actively participating in competitive sports like soccer, tennis, and volleyball. The test image shows two individuals competing for a soccer ball, which is a competitive sport.\nRule: The distinguishing rule is whether the activity depicted is a competitive sport or not.\nTest Image: Two individuals competing for a soccer ball on a field.\nConclusion: cat_1']
22 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images feature motorcycles with two wheels, while the cat_1 images include off-road motorcycles and ATVs, which are not standard two-wheeled motorcycles. The test image shows a standard two-wheeled motorcycle.\nRule: The images in cat_2 contain standard two-wheeled motorcycles, whereas cat_1 includes off-road motorcycles and ATVs.\nTest Image: The test image shows a standard two-wheeled motorcycle on a road.\nConclusion: cat_2']
23 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images feature motorcycles with two wheels, while the cat_1 images include off-road motorcycles and ATVs, which are either dirt bikes or have more than two wheels. The test image shows off-road motorcycles, which are dirt bikes.\nRule: The distinguishing rule is that cat_2 images contain motorcycles with two wheels used on paved roads, while cat_1 images contain off-road motorcycles or ATVs.\nTest Image: The test image shows off-road motorcycles performing jumps and riding on dirt tracks.\nConclusion: cat_1']
24 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict a close interaction where a person is kissing a dog, showing a direct and affectionate connection. The cat_1 images do not show this specific interaction; they either show dogs alone, people interacting with dogs in other ways, or dogs in various settings without the kissing interaction.\nRule: The presence of a person kissing a dog.\nTest Image: A woman kissing a small dog on the cheek.\nConclusion: cat_2']
25 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict a close interaction between a person and a dog, where the person is either kissing the dog or holding it close. The cat_1 images do not show such close interaction; instead, they show dogs in various activities or positions without direct close interaction with a person.\nRule: The presence of close physical interaction between a person and a dog.\nTest Image: A person walking a dog on a leash in a park setting, with no close physical interaction.\nConclusion: cat_1']
26 | expected:'cat_2' | got='cat_2' | full: [" Analysis: The cat_2 images all depict individuals actively performing skateboarding tricks, involving jumps or flips. The cat_1 images show individuals with skateboards but not actively performing tricks, or they are in a non-trick-related pose.\nRule: The image must show a person actively performing a skateboarding trick.\nTest Image: A person is actively performing a skateboarding trick, with the skateboard in the air and the person's body in a dynamic pose.\nConclusion: cat_2"]
27 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals actively performing skateboarding tricks, involving jumps or aerial maneuvers. The cat_1 images show individuals with skateboards but not performing tricks, either standing, sitting, or in a non-trick stance. The test image shows children pushing a skateboard with one child on it, not performing a trick.\nRule: The presence of an active skateboarding trick being performed.\nTest Image: Children pushing a skateboard with one child on it, not performing a trick.\nConclusion: cat_1']
