experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.870563268661499, max_false: 0.8245079517364502, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8587731122970581, max_false: 0.8842257857322693, correct: False
in: torch.Size([57, 8192]), out: torch.Size([8192]), max_true: 0.8613523840904236, max_false: 0.8606087565422058, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8969233632087708, max_false: 0.8888245820999146, correct: True
in: torch.Size([25, 8192]), out: torch.Size([8192]), max_true: 0.8012024164199829, max_false: 0.8305955529212952, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.8913388848304749, max_false: 0.873264491558075, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8292444348335266, max_false: 0.8740977644920349, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8692561388015747, max_false: 0.8083472847938538, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8359183669090271, max_false: 0.8871776461601257, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.911594569683075, max_false: 0.8506489396095276, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8592743873596191, max_false: 0.9329317212104797, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9072604179382324, max_false: 0.8178017139434814, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8399462103843689, max_false: 0.8841485381126404, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.930561363697052, max_false: 0.8922273516654968, correct: True
in: torch.Size([25, 8192]), out: torch.Size([8192]), max_true: 0.8796581029891968, max_false: 0.9260672330856323, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9401621222496033, max_false: 0.8985767364501953, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8975701928138733, max_false: 0.8980636596679688, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8859628438949585, max_false: 0.8424282670021057, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8884074091911316, max_false: 0.855667233467102, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9131402373313904, max_false: 0.8752056360244751, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8210541605949402, max_false: 0.8812341690063477, correct: False
in: torch.Size([57, 8192]), out: torch.Size([8192]), max_true: 0.8728941679000854, max_false: 0.7962045669555664, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8085858821868896, max_false: 0.8328331708908081, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8735963106155396, max_false: 0.814054548740387, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9022558927536011, max_false: 0.9400651454925537, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9397588968276978, max_false: 0.8816478252410889, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8377575874328613, max_false: 0.8681454062461853, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8769791126251221, max_false: 0.8322771787643433, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.782832682132721, max_false: 0.8636266589164734, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8697748780250549, max_false: 0.786778450012207, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8541513085365295, max_false: 0.871147871017456, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8799329400062561, max_false: 0.8354107141494751, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8841784596443176, max_false: 0.9269475340843201, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9584459066390991, max_false: 0.9413825273513794, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.8519768714904785, max_false: 0.8082255125045776, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8658562302589417, max_false: 0.8907450437545776, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8074750900268555, max_false: 0.8494360446929932, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9190921783447266, max_false: 0.890624463558197, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8087793588638306, max_false: 0.8794670104980469, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.9302242994308472, max_false: 0.8425719738006592, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8804269433021545, max_false: 0.9130797982215881, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9232616424560547, max_false: 0.8832664489746094, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8800722360610962, max_false: 0.9394335746765137, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8776512742042542, max_false: 0.7949488759040833, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.941563606262207, max_false: 0.8901358842849731, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8668726682662964, max_false: 0.9168448448181152, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.8503797650337219, max_false: 0.9122171401977539, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9466837644577026, max_false: 0.8896721601486206, correct: True
