experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9438716173171997, max_false: 0.9409120678901672, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9551604390144348, max_false: 0.9369106292724609, correct: True
in: torch.Size([57, 8192]), out: torch.Size([8192]), max_true: 0.9494272470474243, max_false: 0.9599027633666992, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9598963260650635, max_false: 0.951785147190094, correct: True
in: torch.Size([25, 8192]), out: torch.Size([8192]), max_true: 0.9065595865249634, max_false: 0.923620343208313, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.9042218923568726, max_false: 0.9056374430656433, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9391058683395386, max_false: 0.923202633857727, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9506067633628845, max_false: 0.9243682622909546, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9616543650627136, max_false: 0.962607204914093, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9512805938720703, max_false: 0.9348134994506836, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9473539590835571, max_false: 0.9619720578193665, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9533774256706238, max_false: 0.930149495601654, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8600450158119202, max_false: 0.8474220633506775, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9422435164451599, max_false: 0.964637279510498, correct: False
in: torch.Size([25, 8192]), out: torch.Size([8192]), max_true: 0.9592670202255249, max_false: 0.9466172456741333, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9349281191825867, max_false: 0.9577945470809937, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9735980033874512, max_false: 0.9536808133125305, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9579983949661255, max_false: 0.9418857097625732, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9619712233543396, max_false: 0.9336210489273071, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9453475475311279, max_false: 0.9197677969932556, correct: True
