experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.546075165271759, max_false: 0.9389951825141907, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.9148676991462708, max_false: 0.6903032064437866, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), max_true: 0.9263497591018677, max_false: 0.8057473301887512, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8781231641769409, max_false: 0.8550624251365662, correct: True
in: torch.Size([24, 8192]), out: torch.Size([8192]), max_true: 0.6599635481834412, max_false: 0.6584281921386719, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.8615826964378357, max_false: 0.8622952699661255, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8739376664161682, max_false: 0.8644883036613464, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8400373458862305, max_false: 0.8673887252807617, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8826106190681458, max_false: 0.9065682888031006, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8685427308082581, max_false: 0.863815188407898, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.814878523349762, max_false: 0.7332053780555725, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8906264305114746, max_false: 0.8872820138931274, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.5921891331672668, max_false: 0.5823963284492493, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8664484024047852, max_false: 0.8678802251815796, correct: False
in: torch.Size([24, 8192]), out: torch.Size([8192]), max_true: 0.8455318808555603, max_false: 0.8594509959220886, correct: False
