experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.8681800365447998, max_false: 0.823454737663269, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8724899888038635, max_false: 0.852444589138031, correct: True
in: torch.Size([25, 8192]), out: torch.Size([8192]), max_true: 0.7476458549499512, max_false: 0.7620654106140137, correct: False
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.820397138595581, max_false: 0.8308873176574707, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8598707318305969, max_false: 0.8648791909217834, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.886344313621521, max_false: 0.8694263696670532, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8876586556434631, max_false: 0.7822167873382568, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7651053071022034, max_false: 0.8838479518890381, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8261895179748535, max_false: 0.8548757433891296, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.9072532057762146, max_false: 0.9061788320541382, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.804131805896759, max_false: 0.8260806202888489, correct: False
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.8421685695648193, max_false: 0.8577572107315063, correct: False
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.8398435711860657, max_false: 0.8673967123031616, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8854551911354065, max_false: 0.8326787948608398, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8787009119987488, max_false: 0.8406603932380676, correct: True
