experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.9318757057189941, max_false: 0.8886333703994751, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8866309523582458, max_false: 0.8513295650482178, correct: True
in: torch.Size([25, 8192]), out: torch.Size([8192]), max_true: 0.8843611478805542, max_false: 0.8990874886512756, correct: False
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.895599365234375, max_false: 0.8879511952400208, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9494813680648804, max_false: 0.9503371715545654, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9610549211502075, max_false: 0.9259862303733826, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9476807117462158, max_false: 0.907500147819519, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9310832023620605, max_false: 0.9457753896713257, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9460767507553101, max_false: 0.9514026045799255, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.9484263062477112, max_false: 0.9435656666755676, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.897737443447113, max_false: 0.887905478477478, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.9312209486961365, max_false: 0.9349945783615112, correct: False
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.9598686695098877, max_false: 0.945086658000946, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9441017508506775, max_false: 0.9297917485237122, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9582071900367737, max_false: 0.9441450834274292, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.9603107571601868, max_false: 0.9361518621444702, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9427357912063599, max_false: 0.9517083168029785, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9269170761108398, max_false: 0.904181182384491, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9583999514579773, max_false: 0.9322199821472168, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9530683159828186, max_false: 0.9365164637565613, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9457169771194458, max_false: 0.9567525386810303, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9035837650299072, max_false: 0.903541624546051, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9635251760482788, max_false: 0.9675875306129456, correct: False
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.9243715405464172, max_false: 0.9210104942321777, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9455588459968567, max_false: 0.9201598763465881, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.8739566802978516, max_false: 0.8900922536849976, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9639268517494202, max_false: 0.9543883800506592, correct: True
