experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9041476845741272, max_false: 0.8185566663742065, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.920280933380127, max_false: 0.9284791350364685, correct: False
in: torch.Size([24, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8695447444915771, max_false: 0.8115986585617065, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.691142201423645, max_false: 0.7403450608253479, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8593900799751282, max_false: 0.8200482130050659, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9192249774932861, max_false: 0.9215269088745117, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.93035888671875, max_false: 0.8475391268730164, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.859418511390686, max_false: 0.885536253452301, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9318897724151611, max_false: 0.9299180507659912, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8586249351501465, max_false: 0.8585988879203796, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8964321613311768, max_false: 0.836664617061615, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8308171033859253, max_false: 0.8631688356399536, correct: False
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9039672613143921, max_false: 0.9308027029037476, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8867781162261963, max_false: 0.8667723536491394, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.917242705821991, max_false: 0.8548070192337036, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.902276873588562, max_false: 0.895126223564148, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9642705321311951, max_false: 0.9361387491226196, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9349581003189087, max_false: 0.9453254342079163, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9871267080307007, max_false: 0.867207407951355, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8388863205909729, max_false: 0.8297078013420105, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9159627556800842, max_false: 0.9100186824798584, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9275735020637512, max_false: 0.9404540657997131, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9467805027961731, max_false: 0.9103686213493347, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8692492246627808, max_false: 0.8450364470481873, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.930040717124939, max_false: 0.8696171641349792, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7792137265205383, max_false: 0.800542950630188, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9662677049636841, max_false: 0.9222407341003418, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.934779167175293, max_false: 0.9222407341003418, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9219175577163696, max_false: 0.8735787272453308, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8249478936195374, max_false: 0.8237777948379517, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8579578399658203, max_false: 0.8785846829414368, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.835614025592804, max_false: 0.8786811232566833, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9801741242408752, max_false: 0.9134311676025391, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8658849000930786, max_false: 0.7710869312286377, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8412074446678162, max_false: 0.6994639039039612, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9012932777404785, max_false: 0.7873230576515198, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8427539467811584, max_false: 0.7917641401290894, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8970256447792053, max_false: 0.7871241569519043, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8948930501937866, max_false: 0.914932131767273, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9108232259750366, max_false: 0.9183128476142883, correct: False
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9260488748550415, max_false: 0.9278839230537415, correct: False
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7980465888977051, max_false: 0.765344500541687, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9368083477020264, max_false: 0.8787050247192383, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8862816691398621, max_false: 0.8294855356216431, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.92153000831604, max_false: 0.8920888900756836, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8582265973091125, max_false: 0.8535776138305664, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9240064024925232, max_false: 0.897020161151886, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7952820062637329, max_false: 0.8259517550468445, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9647549390792847, max_false: 0.9116287231445312, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8044828772544861, max_false: 0.7743487358093262, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8298666477203369, max_false: 0.9390692710876465, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8864821195602417, max_false: 0.8253612518310547, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9054113626480103, max_false: 0.849591076374054, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8804745674133301, max_false: 0.8226208090782166, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9776312708854675, max_false: 0.8963114619255066, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8564104437828064, max_false: 0.8311447501182556, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9336562752723694, max_false: 0.8017697930335999, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.873981773853302, max_false: 0.9060584306716919, correct: False
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9063471555709839, max_false: 0.8448336720466614, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9080263376235962, max_false: 0.876463770866394, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9430307745933533, max_false: 0.8220927119255066, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8807903528213501, max_false: 0.8670425415039062, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9063436388969421, max_false: 0.8901774883270264, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.84991055727005, max_false: 0.8762727379798889, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9321446418762207, max_false: 0.8642697930335999, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8628934025764465, max_false: 0.7929027080535889, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9416006207466125, max_false: 0.8840473890304565, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8154382109642029, max_false: 0.8848326802253723, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9482367038726807, max_false: 0.895305871963501, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8312825560569763, max_false: 0.8367071151733398, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.794838547706604, max_false: 0.7934620976448059, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9321574568748474, max_false: 0.8902036547660828, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9492524266242981, max_false: 0.8610594272613525, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8735413551330566, max_false: 0.7380840182304382, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.899513840675354, max_false: 0.8899794220924377, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9105319380760193, max_false: 0.895794153213501, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9256376028060913, max_false: 0.8596987724304199, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8611465692520142, max_false: 0.8159346580505371, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.943475067615509, max_false: 0.8724360466003418, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8396112322807312, max_false: 0.8166890144348145, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8932470083236694, max_false: 0.813677966594696, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8534977436065674, max_false: 0.8125951290130615, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9165869951248169, max_false: 0.8966872692108154, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9444569945335388, max_false: 0.8849560618400574, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8980996608734131, max_false: 0.8670605421066284, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8524623513221741, max_false: 0.8357135057449341, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8698521256446838, max_false: 0.8650764226913452, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8640136122703552, max_false: 0.8618769645690918, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8830292820930481, max_false: 0.7918641567230225, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8884401321411133, max_false: 0.8725706338882446, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8839675784111023, max_false: 0.7423287630081177, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7879793643951416, max_false: 0.8039827942848206, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9363452196121216, max_false: 0.8196863532066345, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9269903898239136, max_false: 0.8431990742683411, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9207826852798462, max_false: 0.9587110280990601, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9186176657676697, max_false: 0.9286636114120483, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8812955021858215, max_false: 0.8748419880867004, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8892087936401367, max_false: 0.8884201645851135, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9491898417472839, max_false: 0.890102207660675, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9030210971832275, max_false: 0.890102207660675, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8788834810256958, max_false: 0.8973556160926819, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8583363890647888, max_false: 0.8650025725364685, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9482453465461731, max_false: 0.8359310626983643, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8382433652877808, max_false: 0.7743535041809082, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8852598071098328, max_false: 0.9149910807609558, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9013305902481079, max_false: 0.8396678566932678, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9417561292648315, max_false: 0.8453335165977478, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8483036160469055, max_false: 0.901335597038269, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9201179146766663, max_false: 0.8399525284767151, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8164527416229248, max_false: 0.8847259879112244, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9449980854988098, max_false: 0.9226248264312744, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7055174112319946, max_false: 0.6728845834732056, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9212497472763062, max_false: 0.9400041699409485, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9275367856025696, max_false: 0.8755897879600525, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9354111552238464, max_false: 0.924466073513031, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8446833491325378, max_false: 0.7686572670936584, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9592556357383728, max_false: 0.8994426727294922, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8123276233673096, max_false: 0.74546879529953, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9581114053726196, max_false: 0.9222413897514343, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9130086302757263, max_false: 0.8874921798706055, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9361719489097595, max_false: 0.9352449774742126, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8997000455856323, max_false: 0.8706289529800415, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9001865386962891, max_false: 0.8271037936210632, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8775840997695923, max_false: 0.7769928574562073, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9270404577255249, max_false: 0.9062520265579224, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8327639698982239, max_false: 0.818290114402771, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9448689818382263, max_false: 0.8701527714729309, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8604949712753296, max_false: 0.8636525273323059, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9294395446777344, max_false: 0.9247903227806091, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.918872058391571, max_false: 0.9240668416023254, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9303168654441833, max_false: 0.84422767162323, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8044224977493286, max_false: 0.7970810532569885, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.973749577999115, max_false: 0.8909125924110413, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9106819033622742, max_false: 0.9148456454277039, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9058860540390015, max_false: 0.8566253185272217, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9177097082138062, max_false: 0.9118030667304993, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9486674070358276, max_false: 0.8101285696029663, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9119845628738403, max_false: 0.8560211658477783, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9218831062316895, max_false: 0.9166492223739624, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.838458776473999, max_false: 0.8292757868766785, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9529466032981873, max_false: 0.9376747012138367, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8890054225921631, max_false: 0.9045987725257874, correct: False
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9268564581871033, max_false: 0.9213370084762573, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9292218089103699, max_false: 0.9163857102394104, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9594710469245911, max_false: 0.9530009031295776, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9156408309936523, max_false: 0.929558277130127, correct: False
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9575310945510864, max_false: 0.8732272982597351, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9151626825332642, max_false: 0.8949330449104309, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.917180061340332, max_false: 0.867680013179779, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.901734471321106, max_false: 0.8357279896736145, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9323130249977112, max_false: 0.925640344619751, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8447612524032593, max_false: 0.8754568696022034, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9574378728866577, max_false: 0.9510751366615295, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8471971154212952, max_false: 0.848355233669281, correct: False
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7899879813194275, max_false: 0.8066782355308533, correct: False
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8668420910835266, max_false: 0.8066782355308533, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9027200937271118, max_false: 0.895815908908844, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8932676911354065, max_false: 0.8461811542510986, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9606451392173767, max_false: 0.8678264021873474, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7821821570396423, max_false: 0.7551134824752808, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.910314679145813, max_false: 0.8076867461204529, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8989487290382385, max_false: 0.8901624083518982, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9300296306610107, max_false: 0.8543123006820679, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8536932468414307, max_false: 0.8543123006820679, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9473612904548645, max_false: 0.8818109631538391, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.577202558517456, max_false: 0.6601123809814453, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9700297117233276, max_false: 0.9616788029670715, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8642207980155945, max_false: 0.9228443503379822, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.968548059463501, max_false: 0.9458743333816528, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9245816469192505, max_false: 0.962303638458252, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8061941862106323, max_false: 0.7555910348892212, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8915855884552002, max_false: 0.8708921670913696, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9145185351371765, max_false: 0.8898947238922119, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.6693167090415955, max_false: 0.6676183342933655, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9288849830627441, max_false: 0.8724352717399597, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9006577730178833, max_false: 0.9140552282333374, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.942646861076355, max_false: 0.8646726012229919, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8211714625358582, max_false: 0.8317650556564331, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8744413256645203, max_false: 0.8843206167221069, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9735830426216125, max_false: 0.9415421485900879, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9304575324058533, max_false: 0.9062945246696472, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8705700039863586, max_false: 0.8742086887359619, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9239634275436401, max_false: 0.9001806378364563, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.885629415512085, max_false: 0.8609845638275146, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9239026308059692, max_false: 0.8544831871986389, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7530415654182434, max_false: 0.7414388656616211, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9092470407485962, max_false: 0.9466680884361267, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8473283052444458, max_false: 0.8362472057342529, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9203694462776184, max_false: 0.8921054601669312, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8820783495903015, max_false: 0.8431552052497864, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9521123170852661, max_false: 0.962800145149231, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9320701956748962, max_false: 0.9428964257240295, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9131864309310913, max_false: 0.7523812055587769, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.7950305938720703, max_false: 0.8050650954246521, correct: False
in: torch.Size([64, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.934847354888916, max_false: 0.8815861344337463, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8240103125572205, max_false: 0.8182399868965149, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8898112773895264, max_false: 0.8695254325866699, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8685418367385864, max_false: 0.867185652256012, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.875312864780426, max_false: 0.838617205619812, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9213908910751343, max_false: 0.9055542945861816, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8803438544273376, max_false: 0.8864238262176514, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8624715805053711, max_false: 0.8821401000022888, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9243754148483276, max_false: 0.9324531555175781, correct: False
