experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.8098617792129517, max_false: 0.6773348450660706, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7323204874992371, max_false: 0.7342876195907593, correct: False
in: torch.Size([24, 8192]), out: torch.Size([8192]), max_true: 0.8257976770401001, max_false: 0.7726339101791382, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.6629599332809448, max_false: 0.6626617908477783, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7788263559341431, max_false: 0.6953321695327759, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7479282021522522, max_false: 0.6997866630554199, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8462438583374023, max_false: 0.7203906178474426, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6041293740272522, max_false: 0.6295751929283142, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8301053643226624, max_false: 0.7752711772918701, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.6898908615112305, max_false: 0.6420929431915283, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6962551474571228, max_false: 0.6651334762573242, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.6516953110694885, max_false: 0.6385617256164551, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.8522460460662842, max_false: 0.7461113929748535, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7218539714813232, max_false: 0.6367498636245728, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8274915218353271, max_false: 0.7152062654495239, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.7480033040046692, max_false: 0.6865358352661133, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8261123895645142, max_false: 0.7810941934585571, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6488670706748962, max_false: 0.5951184630393982, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8506841659545898, max_false: 0.68948894739151, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.6890725493431091, max_false: 0.5860474705696106, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7708603143692017, max_false: 0.7756921052932739, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7493585348129272, max_false: 0.767356276512146, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.862845778465271, max_false: 0.7848153114318848, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.6774619817733765, max_false: 0.6362372636795044, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8392330408096313, max_false: 0.7829355001449585, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.6604804992675781, max_false: 0.5847421884536743, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8796295523643494, max_false: 0.7944574952125549, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.7388291954994202, max_false: 0.712348997592926, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8044366240501404, max_false: 0.7493248581886292, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), max_true: 0.5998969674110413, max_false: 0.6154214143753052, correct: False
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.7678200602531433, max_false: 0.7153875231742859, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.66433185338974, max_false: 0.6750795841217041, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8294515609741211, max_false: 0.7674397230148315, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.5680859684944153, max_false: 0.5212834477424622, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6275346875190735, max_false: 0.45420607924461365, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.6889792084693909, max_false: 0.7218973636627197, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.667120099067688, max_false: 0.6446189284324646, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.6672565937042236, max_false: 0.5735586881637573, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8896925449371338, max_false: 0.8623965978622437, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8495784401893616, max_false: 0.8259143829345703, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.858512282371521, max_false: 0.7670033574104309, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.606878936290741, max_false: 0.5968748331069946, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8414686918258667, max_false: 0.7898303866386414, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.6433338522911072, max_false: 0.653069257736206, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.9128681421279907, max_false: 0.7585925459861755, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7063194513320923, max_false: 0.60072922706604, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7922213077545166, max_false: 0.7035388350486755, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6785805225372314, max_false: 0.6392505764961243, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.850613534450531, max_false: 0.7096459269523621, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6469290852546692, max_false: 0.6845493912696838, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8419867157936096, max_false: 0.7531545162200928, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.6063812971115112, max_false: 0.5920993685722351, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8155933618545532, max_false: 0.7362143993377686, correct: True
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.6476895809173584, max_false: 0.634139358997345, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.8167001008987427, max_false: 0.5835379958152771, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7229212522506714, max_false: 0.5241227746009827, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7737484574317932, max_false: 0.6456255912780762, correct: True
