experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: labeled

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.8101458549499512, max_false: 0.6803907752037048, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7338846325874329, max_false: 0.7358774542808533, correct: False
in: torch.Size([25, 8192]), out: torch.Size([8192]), max_true: 0.8310187458992004, max_false: 0.7850757241249084, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6603172421455383, max_false: 0.6619336605072021, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7827606797218323, max_false: 0.6993183493614197, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7494057416915894, max_false: 0.7003021836280823, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8466237187385559, max_false: 0.7221063375473022, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6034965515136719, max_false: 0.6296840310096741, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8301488757133484, max_false: 0.7747783064842224, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.6865829825401306, max_false: 0.6397786140441895, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.697105348110199, max_false: 0.6664751172065735, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6575167775154114, max_false: 0.6436935067176819, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.8525652289390564, max_false: 0.7509700059890747, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7217581272125244, max_false: 0.6377590894699097, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8299532532691956, max_false: 0.7177294492721558, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.7501221299171448, max_false: 0.6884990334510803, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.82415771484375, max_false: 0.7819353342056274, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6526581645011902, max_false: 0.5988837480545044, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8500786423683167, max_false: 0.6893640160560608, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.6928063631057739, max_false: 0.5892928838729858, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7730997204780579, max_false: 0.7789857387542725, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7511076927185059, max_false: 0.7695212364196777, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8626867532730103, max_false: 0.7840724587440491, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6795118451118469, max_false: 0.637372612953186, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8396196365356445, max_false: 0.7859654426574707, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.6615334153175354, max_false: 0.5862324237823486, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8793701529502869, max_false: 0.7957326173782349, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.7392382025718689, max_false: 0.7127760052680969, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8041324615478516, max_false: 0.7518131732940674, correct: True
in: torch.Size([57, 8192]), out: torch.Size([8192]), max_true: 0.5987759828567505, max_false: 0.6144453883171082, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.7683467268943787, max_false: 0.7151721119880676, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6651066541671753, max_false: 0.6764684319496155, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8282400369644165, max_false: 0.7681264281272888, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.57453453540802, max_false: 0.5272067189216614, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6257598400115967, max_false: 0.45121896266937256, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.6888319849967957, max_false: 0.7225124835968018, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.6692649126052856, max_false: 0.6468737721443176, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6739512085914612, max_false: 0.5819827914237976, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8888721466064453, max_false: 0.8626914620399475, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8507378101348877, max_false: 0.8273903131484985, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.8588531017303467, max_false: 0.7683442831039429, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.6070207357406616, max_false: 0.5965529680252075, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8426547646522522, max_false: 0.792137622833252, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.6426792740821838, max_false: 0.6510004997253418, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.9152222871780396, max_false: 0.7617915272712708, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7109705209732056, max_false: 0.605512797832489, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7912729978561401, max_false: 0.7043632864952087, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6813018918037415, max_false: 0.6430124640464783, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8512030243873596, max_false: 0.7109139561653137, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.651023268699646, max_false: 0.688610315322876, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8414360880851746, max_false: 0.7549142241477966, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.6087525486946106, max_false: 0.5952088832855225, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8174611926078796, max_false: 0.7394359707832336, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6537505984306335, max_false: 0.6378992199897766, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.8167805075645447, max_false: 0.5844607949256897, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7235994935035706, max_false: 0.5249790549278259, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.775714099407196, max_false: 0.6494495868682861, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6415687203407288, max_false: 0.6904825568199158, correct: False
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.8245976567268372, max_false: 0.7011633515357971, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6827054023742676, max_false: 0.6769962310791016, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.7751467823982239, max_false: 0.6237205862998962, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6535804271697998, max_false: 0.5712668895721436, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8142541646957397, max_false: 0.7974566221237183, correct: True
in: torch.Size([57, 8192]), out: torch.Size([8192]), max_true: 0.6562871336936951, max_false: 0.6985957622528076, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8026671409606934, max_false: 0.7674074172973633, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7132675647735596, max_false: 0.6704954504966736, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8316282033920288, max_false: 0.6884442567825317, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.6284840703010559, max_false: 0.6528303623199463, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8796840906143188, max_false: 0.7741711735725403, correct: True
in: torch.Size([57, 8192]), out: torch.Size([8192]), max_true: 0.5892744660377502, max_false: 0.5668253898620605, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7185155153274536, max_false: 0.6372607946395874, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7913018465042114, max_false: 0.7484815120697021, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8263358473777771, max_false: 0.7344174981117249, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.762243390083313, max_false: 0.6414654850959778, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8590396642684937, max_false: 0.778786301612854, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8265659809112549, max_false: 0.7614400386810303, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8215421438217163, max_false: 0.8097882866859436, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.5948469638824463, max_false: 0.5275604128837585, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8725233674049377, max_false: 0.714349627494812, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7040290236473083, max_false: 0.5820146799087524, correct: True
in: torch.Size([65, 8192]), out: torch.Size([8192]), max_true: 0.8243682384490967, max_false: 0.6183062791824341, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.582015872001648, max_false: 0.5205482244491577, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8178560733795166, max_false: 0.7834732532501221, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6334890127182007, max_false: 0.6569095253944397, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8403615355491638, max_false: 0.7253949046134949, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6737276911735535, max_false: 0.6092946529388428, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8211709856987, max_false: 0.7351634502410889, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7858012914657593, max_false: 0.6808900237083435, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8085215091705322, max_false: 0.7487553954124451, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7836121916770935, max_false: 0.7313231825828552, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6456254720687866, max_false: 0.520872175693512, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.37189042568206787, max_false: 0.38509732484817505, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.8581140637397766, max_false: 0.6416342258453369, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7749611139297485, max_false: 0.6163135766983032, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9092942476272583, max_false: 0.8294054865837097, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8325937986373901, max_false: 0.6933848261833191, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.848204493522644, max_false: 0.8227035403251648, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7127872705459595, max_false: 0.695073664188385, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8234217762947083, max_false: 0.7696691155433655, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.6500320434570312, max_false: 0.6521636247634888, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8207703828811646, max_false: 0.7652616500854492, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.6901113390922546, max_false: 0.6358182430267334, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.86003577709198, max_false: 0.7622978091239929, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.5703721642494202, max_false: 0.5097072720527649, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7246129512786865, max_false: 0.7268704771995544, correct: False
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7387343645095825, max_false: 0.7248036861419678, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8303261995315552, max_false: 0.7023342847824097, correct: True
in: torch.Size([33, 8192]), out: torch.Size([8192]), max_true: 0.7457857728004456, max_false: 0.6439235806465149, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8351283669471741, max_false: 0.7688037157058716, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7469502687454224, max_false: 0.7401224970817566, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.9155633449554443, max_false: 0.8119639754295349, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.5005677938461304, max_false: 0.5058656334877014, correct: False
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7836189866065979, max_false: 0.7714066505432129, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7172347903251648, max_false: 0.6398928761482239, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.8042650818824768, max_false: 0.731292188167572, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7089968323707581, max_false: 0.6490925550460815, correct: True
in: torch.Size([41, 8192]), out: torch.Size([8192]), max_true: 0.7975332736968994, max_false: 0.6476565003395081, correct: True
in: torch.Size([49, 8192]), out: torch.Size([8192]), max_true: 0.7651618123054504, max_false: 0.6517453789710999, correct: True
in: torch.Size([57, 8192]), out: torch.Size([8192]), max_true: 0.8336591720581055, max_false: 0.7803645730018616, correct: True
