experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 samples show dogs being walked by their owners on leashes, while cat_1 samples show dogs being held or petted by their owners. The test image shows a dog being walked on a leash by its owner.\n\nRule: Dogs being walked by their owners on leashes.\n\nTest Image: A dog is being walked on a leash by its owner.\n\nConclusion: cat_2']
1 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 samples show dogs being walked by their owners on leashes, while cat_1 samples show dogs being held or petted by their owners. The test image shows a dog being held and kissed by two people, which aligns with the cat_1 samples.\n\nRule: Dogs being walked by their owners on leashes are cat_2, while dogs being held or petted by their owners are cat_1.\n\nTest Image: A dog is being held and kissed by two people.\n\nConclusion: cat_1']
2 | expected:'cat_2' | got='cat_2' | full: [" Analysis: The cat_2 samples show intimate, affectionate gestures between two people, often with one person embracing the other. The cat_1 samples show less intimate gestures, such as handshakes or more formal interactions.\n\nRule: The cat_2 samples show intimate, affectionate gestures between two people, often with one person embracing the other.\n\nTest Image: A man and a woman are embracing each other, with the woman leaning in close to the man's face.\n\nConclusion: cat_2"]
3 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 samples show two people embracing or hugging, while the cat_1 samples show one person hugging another or kissing them. The test image shows two people kissing, which aligns with the cat_2 samples.\n\nRule: Two people embracing or hugging\n\nTest Image: Two people kissing\n\nConclusion: cat_2']
4 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 samples show a group of people on motorcycles, often in a line or formation, while the cat_1 samples show individuals or smaller groups on motorcycles, often in action or in a more casual setting. The test image shows a group of people on motorcycles in a line, similar to the cat_2 samples.\n\nRule: The distinguishing rule is the presence of a group of people on motorcycles in a line or formation.\n\nTest Image: A group of people on motorcycles in a line, similar to the cat_2 samples.\n\nConclusion: cat_2']
5 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 samples show a group of people on motorcycles, often in a social or public setting, while the cat_1 samples show individuals or small groups on motorcycles, often in a more private or competitive setting. The test image shows a single person on a motorcycle in a promotional or staged setting.\n\nRule: The cat_2 samples show a group of people on motorcycles, often in a social or public setting, while the cat_1 samples show individuals or small groups on motorcycles, often in a more private or competitive setting.\n\nTest Image: A single person on a motorcycle in a promotional or staged setting.\n\nConclusion: cat_1']
6 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 samples show motorcycles in a group or a line, while cat_1 samples show motorcycles in a single rider or a single rider with a passenger. The test image shows a group of motorcycles riding in a line.\n\nRule: The distinguishing rule is that cat_2 samples show motorcycles in a group or a line, while cat_1 samples show motorcycles in a single rider or a single rider with a passenger.\n\nTest Image: A group of motorcycles is riding in a line.\n\nConclusion: cat_2']
7 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 samples show motorcycles in use, either racing, riding, or being worked on, while cat_1 samples show motorcycles in a stationary or non-functional state, such as being ridden by a person or in a box. The test image shows a person washing a motorcycle, which is a non-functional state.\n\nRule: cat_2 samples show motorcycles in use, while cat_1 samples show motorcycles in a stationary or non-functional state.\n\nTest Image: A person washing a motorcycle, which is a non-functional state.\n\nConclusion: cat_1']
8 | expected:'cat_2' | got='cat_2' | full: ['1. The rule is that the cat_2 samples show a person holding a dog, while the cat_1 samples show a person holding a cat.\n2. The test image shows a person holding a dog.\n3. Conclusion: cat_2']
9 | expected:'cat_1' | got='cat_2' | full: [' Analysis: All cat_2 images show a single dog being held or petted by a person, while cat_1 images show multiple dogs being held or petted by a person. The test image shows a single dog being held by a person.\n\nRule: A single dog being held or petted by a person.\n\nTest Image: A single dog is being held by a person.\n\nConclusion: cat_2']
10 | expected:'cat_2' | got='cat_1' | full: [' Analysis: All cat_2 samples show people using laptops in a professional or work-related setting, often in an office or home office environment. The individuals appear focused and engaged in tasks such as typing, browsing, or working on documents. The setting is generally clean and organized, suggesting a professional atmosphere. The cat_1 samples, on the other hand, show people using laptops in more casual or personal settings, such as a living room, a hospital, or a repair scenario. The individuals in these images appear less focused and the setting is less professional.\n\nRule: The distinguishing rule is the professional or work-related setting versus a casual or personal setting.\n\nTest Image: A person is using a laptop in a living room, which is a casual setting. The individual appears relaxed and not focused on a specific task.\n\nConclusion: cat_1']
