experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: ['1. Rule: The cat_2 images show dogs being walked on leashes by people, while the cat_1 images show dogs being held or petted by people.\n2. Analysis: The test image shows a dog wearing a bow tie, which is not a leash, and the dog is not being walked by a person. The dog appears to be sitting on a surface, possibly a couch or a chair, and is being held by a person.\n3. Conclusion: cat_1']
1 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show dogs being walked by people on leashes, while cat_1 images show dogs being held or petted by people. \nRule: Dogs being walked by people on leashes \nTest Image: A couple is kissing a dog that is being held by a person. \nConclusion: cat_1']
2 | expected:'cat_2' | got='cat_2' | full: [" Analysis: All cat_2 images show two people embracing, with one person's arm around the other's shoulder or waist, indicating a close and affectionate interaction. The test image shows a similar embrace with one person's arm around the other's shoulder, suggesting a close and affectionate interaction.\n\nRule: The distinguishing rule is the presence of an embrace with one person's arm around the other's shoulder or waist, indicating a close and affectionate interaction.\n\nTest Image: A man and a woman are embracing, with the man's arm around the woman's shoulder, indicating a close and affectionate interaction.\n\nConclusion: cat_2"]
3 | expected:'cat_1' | got='cat_2' | full: [' Analysis: All cat_2 images show two people embracing or hugging, with the focus on the physical contact and closeness between the individuals. The poses and expressions suggest a warm, affectionate interaction. Cat_1 images, on the other hand, show a variety of interactions, including kissing, handshaking, and pointing, but the focus is not on the physical closeness or embrace.\n\nRule: The distinguishing rule is the physical closeness and embrace between the two individuals in the image.\n\nTest Image: Two people are kissing, with their faces close together and their mouths open, indicating a close and intimate interaction.\n\nConclusion: cat_2']
4 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show a group of people on motorcycles, while cat_1 images show individuals or smaller groups on motorcycles. The test image shows a group of people on motorcycles, which aligns with the cat_2 images.\n\nRule: Group of people on motorcycles\n\nTest Image: A group of people on motorcycles\n\nConclusion: cat_2']
5 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images show groups of people on motorcycles in various settings, including a rural area, a city street, and a parade. The people are casually dressed and appear to be enjoying the experience. The cat_1 images show individuals on motorcycles in more dynamic and competitive settings, such as a motocross race, a motorcycle show, and a man working on a motorcycle. The people in the cat_1 images are dressed in racing gear and appear to be focused on the activity.\n\nRule: The cat_2 images show groups of people on motorcycles in casual settings, while the cat_1 images show individuals on motorcycles in more dynamic and competitive settings.\n\nTest Image: A woman is sitting on a motorcycle in a casual setting, wearing a red hat and high heels, with a bucket of eggs next to her.\n\nConclusion: cat_2']
6 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show motorcycles in motion, either racing, riding in a group, or performing stunts. The riders are actively engaged in riding, and the motorcycles are in a dynamic state. Cat_1 images show motorcycles in a stationary or parked state, with riders either not actively riding or not visible in the image. The motorcycles in cat_1 images are not in motion.\n\nRule: The distinguishing rule is that cat_2 images show motorcycles in motion, while cat_1 images show motorcycles in a stationary or parked state.\n\nTest Image: The image shows a group of motorcycles in motion, with riders actively engaged in riding. The motorcycles are not stationary or parked.\n\nConclusion: cat_2']
7 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show motorcycles in motion, either racing, riding in a group, or being ridden by a person. The motorcycles are actively being used for riding. Cat_1 images show motorcycles in various states, but not actively being ridden, such as being parked, being worked on, or being used for a different purpose. The test image shows a person washing a motorcycle, which is not actively being ridden.\n\nRule: The distinguishing rule is that cat_2 images show motorcycles in motion, while cat_1 images show motorcycles not actively being ridden.\n\nTest Image: A person washing a motorcycle, which is not actively being ridden.\n\nConclusion: cat_1']
8 | expected:'cat_2' | got='cat_2' | full: ['1. The rule is that cat_2 images show a person holding a dog, while cat_1 images show a person interacting with a dog in a different way, such as playing or washing.\n2. The test image shows a person sitting on a bench with a dog on their lap, which aligns with the rule for cat_2 images.\n3. Conclusion: cat_2']
9 | expected:'cat_1' | got='cat_2' | full: ['1. The rule is that cat_2 images show a person holding a dog, while cat_1 images show a person interacting with a dog in a different way, such as playing or washing the dog.\n2. The test image shows a person holding a dog, which aligns with the rule for cat_2 images.\n3. Conclusion: cat_2']
10 | expected:'cat_2' | got='cat_1' | full: [' Analysis: All cat_2 images show people using laptops in a professional or work-related setting, with the focus on the hands typing or interacting with the laptop. The environment is typically indoors, and the individuals are dressed in business or casual work attire. The laptops are open and in use, indicating active work or communication. The cat_1 images show people using laptops in more casual or personal settings, such as at home, in a relaxed environment, or with the laptop closed or not in use. The individuals are often dressed in casual or home attire, and the setting is less formal.\n\nRule: The distinguishing rule is the setting and context in which the person is using the laptop. Cat_2 images show people using laptops in a professional or work-related setting, while cat_1 images show people using laptops in a casual or personal setting.\n\nTest Image: A woman is sitting on a couch in a living room, using a laptop. The setting is a home environment, and the woman is dressed casually. The laptop is open, and she appears to be actively using it, but the overall context is more relaxed and personal.\n\nConclusion: cat_1']
