experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7684922218322754, max_false: 0.788197934627533, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7900195717811584, max_false: 0.6253498196601868, correct: True
in: torch.Size([57, 3584]), out: torch.Size([3584]), max_true: 0.7459903359413147, max_false: 0.8385491967201233, correct: False
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8442186713218689, max_false: 0.711600124835968, correct: True
in: torch.Size([25, 3584]), out: torch.Size([3584]), max_true: 0.7643157839775085, max_false: 0.8216500878334045, correct: False
in: torch.Size([65, 3584]), out: torch.Size([3584]), max_true: 0.8463665843009949, max_false: 0.7687904238700867, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7183551788330078, max_false: 0.8298215866088867, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7348026633262634, max_false: 0.6008363366127014, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.72127765417099, max_false: 0.8657852411270142, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8459032773971558, max_false: 0.6820608973503113, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7473110556602478, max_false: 0.8713556528091431, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.876808226108551, max_false: 0.7662231922149658, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7909590005874634, max_false: 0.8373878002166748, correct: False
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8284904360771179, max_false: 0.7947931289672852, correct: True
in: torch.Size([25, 3584]), out: torch.Size([3584]), max_true: 0.8461020588874817, max_false: 0.8260951042175293, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8692663311958313, max_false: 0.8281942009925842, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8291240930557251, max_false: 0.8813044428825378, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.9079447388648987, max_false: 0.7289037704467773, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7669398784637451, max_false: 0.7410997748374939, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8854954838752747, max_false: 0.7296242713928223, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.6845030188560486, max_false: 0.737782895565033, correct: False
in: torch.Size([57, 3584]), out: torch.Size([3584]), max_true: 0.8722987174987793, max_false: 0.7737535834312439, correct: True
