experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7065073251724243, max_false: 0.8445479273796082, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8706644773483276, max_false: 0.6183274388313293, correct: True
in: torch.Size([57, 3584]), out: torch.Size([3584]), max_true: 0.6539831757545471, max_false: 0.809883177280426, correct: False
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8048402667045593, max_false: 0.610279381275177, correct: True
in: torch.Size([25, 3584]), out: torch.Size([3584]), max_true: 0.6788638830184937, max_false: 0.8099347949028015, correct: False
in: torch.Size([65, 3584]), out: torch.Size([3584]), max_true: 0.8502346873283386, max_false: 0.7435187101364136, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7409805059432983, max_false: 0.8657106161117554, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7899218201637268, max_false: 0.6324107050895691, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.6822734475135803, max_false: 0.9122647643089294, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8887535333633423, max_false: 0.6832332611083984, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.6991974115371704, max_false: 0.8376868963241577, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8598801493644714, max_false: 0.7259159088134766, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.770508348941803, max_false: 0.8302274346351624, correct: False
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8145474791526794, max_false: 0.707491397857666, correct: True
in: torch.Size([25, 3584]), out: torch.Size([3584]), max_true: 0.7838175892829895, max_false: 0.8712438941001892, correct: False
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8851305246353149, max_false: 0.7782130241394043, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8221555352210999, max_false: 0.8933548927307129, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.9196581244468689, max_false: 0.6603891849517822, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7421677708625793, max_false: 0.7505035996437073, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8793300986289978, max_false: 0.6642436385154724, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.6696944236755371, max_false: 0.7979303002357483, correct: False
in: torch.Size([57, 3584]), out: torch.Size([3584]), max_true: 0.9084720611572266, max_false: 0.7387294173240662, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8385348320007324, max_false: 0.8040771484375, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.9162123203277588, max_false: 0.7168624997138977, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.7862975001335144, max_false: 0.8789160251617432, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8569923639297485, max_false: 0.6168135404586792, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7697195410728455, max_false: 0.882750391960144, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8467303514480591, max_false: 0.6513874530792236, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8092222809791565, max_false: 0.9037596583366394, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8155874609947205, max_false: 0.5439807176589966, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.7925460934638977, max_false: 0.8278357982635498, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8740106225013733, max_false: 0.6622724533081055, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.7035850882530212, max_false: 0.8783501982688904, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8255439400672913, max_false: 0.6529026627540588, correct: True
in: torch.Size([33, 3584]), out: torch.Size([3584]), max_true: 0.6257769465446472, max_false: 0.8660001754760742, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.9399646520614624, max_false: 0.7877671122550964, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.6755625605583191, max_false: 0.8274562954902649, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8888389468193054, max_false: 0.7331405282020569, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.6917967200279236, max_false: 0.887178361415863, correct: False
in: torch.Size([65, 3584]), out: torch.Size([3584]), max_true: 0.88896644115448, max_false: 0.6314469575881958, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.5566394925117493, max_false: 0.7821762561798096, correct: False
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.8659377098083496, max_false: 0.6734008193016052, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.6851243376731873, max_false: 0.8516210317611694, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8788712620735168, max_false: 0.6960150003433228, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7027223110198975, max_false: 0.8944580554962158, correct: False
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.9079657793045044, max_false: 0.7668175101280212, correct: True
in: torch.Size([65, 3584]), out: torch.Size([3584]), max_true: 0.7710702419281006, max_false: 0.8849707841873169, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8472369313240051, max_false: 0.6618008613586426, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.7508032917976379, max_false: 0.8869883418083191, correct: False
in: torch.Size([33, 3584]), out: torch.Size([3584]), max_true: 0.8771644830703735, max_false: 0.6774070858955383, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7407361268997192, max_false: 0.8406796455383301, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.7999180555343628, max_false: 0.6844373345375061, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8281369209289551, max_false: 0.8191113471984863, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.823364794254303, max_false: 0.7807881236076355, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.7658976316452026, max_false: 0.8974075317382812, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8505597114562988, max_false: 0.6152006387710571, correct: True
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.6987597942352295, max_false: 0.8014390468597412, correct: False
in: torch.Size([33, 3584]), out: torch.Size([3584]), max_true: 0.7667028903961182, max_false: 0.6262300610542297, correct: True
in: torch.Size([49, 3584]), out: torch.Size([3584]), max_true: 0.778413712978363, max_false: 0.8586877584457397, correct: False
in: torch.Size([41, 3584]), out: torch.Size([3584]), max_true: 0.8955241441726685, max_false: 0.7134509682655334, correct: True
