experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8077463507652283, max_false: 0.778830349445343, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8564579486846924, max_false: 0.6055644750595093, correct: True
in: torch.Size([56, 3584]), out: torch.Size([3584]), max_true: 0.8549510836601257, max_false: 0.8349623680114746, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7170658707618713, max_false: 0.6421743035316467, correct: True
in: torch.Size([24, 3584]), out: torch.Size([3584]), max_true: 0.7579550743103027, max_false: 0.7455480694770813, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.7276036143302917, max_false: 0.7056820392608643, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.877101480960846, max_false: 0.8037795424461365, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7420907616615295, max_false: 0.6967641711235046, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8502041101455688, max_false: 0.8054593205451965, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7031195759773254, max_false: 0.7583767175674438, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7096196413040161, max_false: 0.6979163289070129, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7733260989189148, max_false: 0.7667692303657532, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6274120211601257, max_false: 0.6822531223297119, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.764032781124115, max_false: 0.8075917363166809, correct: False
in: torch.Size([24, 3584]), out: torch.Size([3584]), max_true: 0.8166118264198303, max_false: 0.7947947382926941, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8621333837509155, max_false: 0.8478260040283203, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.9240573644638062, max_false: 0.7733481526374817, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8095846176147461, max_false: 0.7288210988044739, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8693374991416931, max_false: 0.6871662735939026, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7894089818000793, max_false: 0.7367477416992188, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7168695330619812, max_false: 0.6167211532592773, correct: True
in: torch.Size([56, 3584]), out: torch.Size([3584]), max_true: 0.8867151737213135, max_false: 0.8183099031448364, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8169538974761963, max_false: 0.7208167910575867, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8788770437240601, max_false: 0.7870673537254333, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8553799390792847, max_false: 0.6800717115402222, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7398379445075989, max_false: 0.6753310561180115, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.9046956300735474, max_false: 0.8697556853294373, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8226019740104675, max_false: 0.7870223522186279, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8588048219680786, max_false: 0.8041592836380005, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.663257360458374, max_false: 0.6471754908561707, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8458654880523682, max_false: 0.7764856219291687, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8599656820297241, max_false: 0.8038648366928101, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8241792917251587, max_false: 0.8505971431732178, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7833554148674011, max_false: 0.7956087589263916, correct: False
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.8843532204627991, max_false: 0.8142044544219971, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8407034277915955, max_false: 0.8662756085395813, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8497748374938965, max_false: 0.8074072003364563, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.789484441280365, max_false: 0.8515206575393677, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8931235671043396, max_false: 0.8350510001182556, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.7697837352752686, max_false: 0.6437421441078186, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.5992171764373779, max_false: 0.6294457316398621, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8285282254219055, max_false: 0.821817934513092, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7586343288421631, max_false: 0.771480143070221, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.822944700717926, max_false: 0.8280253410339355, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7901435494422913, max_false: 0.809992790222168, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8270552158355713, max_false: 0.8114641904830933, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.8364922404289246, max_false: 0.777025580406189, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7331027984619141, max_false: 0.771363377571106, correct: False
