experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7965179085731506, max_false: 0.8122347593307495, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8199514746665955, max_false: 0.6128190159797668, correct: True
in: torch.Size([56, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9415290355682373, max_false: 0.8103909492492676, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8436605334281921, max_false: 0.7813039422035217, correct: True
in: torch.Size([24, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7507933974266052, max_false: 0.7836557030677795, correct: False
in: torch.Size([64, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8415616750717163, max_false: 0.7250452637672424, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8985171914100647, max_false: 0.8560002446174622, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7926249504089355, max_false: 0.7783284187316895, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8662437796592712, max_false: 0.8175364136695862, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8685693740844727, max_false: 0.7872824668884277, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.786276638507843, max_false: 0.7968147993087769, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8401563167572021, max_false: 0.8454704880714417, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.648236095905304, max_false: 0.7378178834915161, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7710248827934265, max_false: 0.8017014861106873, correct: False
in: torch.Size([24, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8846946358680725, max_false: 0.7978966236114502, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9346892833709717, max_false: 0.8781035542488098, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9407113194465637, max_false: 0.8158599138259888, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8402875065803528, max_false: 0.8450643420219421, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.911130428314209, max_false: 0.7324751615524292, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.81353360414505, max_false: 0.7664893269538879, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7485325336456299, max_false: 0.6756956577301025, correct: True
in: torch.Size([56, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8975124359130859, max_false: 0.875050961971283, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7980360984802246, max_false: 0.8117926716804504, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8628756403923035, max_false: 0.8030552864074707, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9150933027267456, max_false: 0.7950379848480225, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.801375150680542, max_false: 0.7231433987617493, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9320964217185974, max_false: 0.89714515209198, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8526133298873901, max_false: 0.8103251457214355, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8893990516662598, max_false: 0.8623049259185791, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7672907710075378, max_false: 0.7265920639038086, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9036129117012024, max_false: 0.7393645644187927, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8613059520721436, max_false: 0.8212282657623291, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8843819499015808, max_false: 0.9299840927124023, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8314300775527954, max_false: 0.9244646430015564, correct: False
in: torch.Size([32, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8897268176078796, max_false: 0.8127462267875671, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8366873860359192, max_false: 0.8809561133384705, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8597630262374878, max_false: 0.8174974322319031, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8424593806266785, max_false: 0.8995192646980286, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9325891733169556, max_false: 0.8813855051994324, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8615777492523193, max_false: 0.7944520711898804, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8955901861190796, max_false: 0.8083769083023071, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8089495301246643, max_false: 0.7848679423332214, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8506411910057068, max_false: 0.8013594746589661, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8879631757736206, max_false: 0.8984570503234863, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8997576832771301, max_false: 0.863158106803894, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8533527255058289, max_false: 0.8631049394607544, correct: False
in: torch.Size([64, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9009451866149902, max_false: 0.8516156673431396, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.8662495613098145, max_false: 0.8497638702392578, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.9225844740867615, max_false: 0.8297246694564819, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.86419677734375, max_false: 0.8088541030883789, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), len: (6, 6), max_true: 0.7866896986961365, max_false: 0.7324737310409546, correct: True
