experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6643754839897156, max_false: 0.6670868992805481, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7334244251251221, max_false: 0.617106020450592, correct: True
in: torch.Size([56, 3584]), out: torch.Size([3584]), max_true: 0.7953235507011414, max_false: 0.7234669923782349, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7597881555557251, max_false: 0.6889167428016663, correct: True
in: torch.Size([24, 3584]), out: torch.Size([3584]), max_true: 0.6282335519790649, max_false: 0.5649337768554688, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.6400310397148132, max_false: 0.6571193933486938, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7861615419387817, max_false: 0.6769449710845947, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6705971956253052, max_false: 0.6505187153816223, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7751632928848267, max_false: 0.7124171853065491, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7432110905647278, max_false: 0.7068338394165039, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6603651642799377, max_false: 0.6608953475952148, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6918945908546448, max_false: 0.6419041156768799, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.527773916721344, max_false: 0.5624403953552246, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.6362816095352173, max_false: 0.6935315132141113, correct: False
in: torch.Size([24, 3584]), out: torch.Size([3584]), max_true: 0.7485136985778809, max_false: 0.6480663418769836, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.729799211025238, max_false: 0.793861448764801, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8217235207557678, max_false: 0.6474716663360596, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7024338841438293, max_false: 0.5616986155509949, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8090487122535706, max_false: 0.6746229529380798, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6826922297477722, max_false: 0.645241916179657, correct: True
