experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.9053311944007874, max_false: 0.8572996854782104, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7833186984062195, max_false: 0.7404447197914124, correct: True
in: torch.Size([24, 3584]), out: torch.Size([3584]), max_true: 0.8569283485412598, max_false: 0.807278573513031, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.7740369439125061, max_false: 0.7232323288917542, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8072631359100342, max_false: 0.7850746512413025, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8636261820793152, max_false: 0.8074634075164795, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8493622541427612, max_false: 0.7394112348556519, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6078615784645081, max_false: 0.49913010001182556, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8835271000862122, max_false: 0.8476554155349731, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.773488461971283, max_false: 0.7517481446266174, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8527087569236755, max_false: 0.7790340185165405, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.7570416927337646, max_false: 0.7957054972648621, correct: False
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.9043399691581726, max_false: 0.7524437308311462, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.660638153553009, max_false: 0.5819547176361084, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7978072762489319, max_false: 0.6875504851341248, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.7497141361236572, max_false: 0.7588039040565491, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8692406415939331, max_false: 0.8461753129959106, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7077873349189758, max_false: 0.6697819828987122, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8832077383995056, max_false: 0.7290514707565308, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.6469725370407104, max_false: 0.6393551826477051, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8600842952728271, max_false: 0.816910445690155, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7574169039726257, max_false: 0.7586744427680969, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8537978529930115, max_false: 0.6140099763870239, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.6916090846061707, max_false: 0.5328476428985596, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8562138080596924, max_false: 0.80140221118927, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.4454832971096039, max_false: 0.5264328122138977, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8835927844047546, max_false: 0.8117501735687256, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.8070710897445679, max_false: 0.7858449816703796, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8633759021759033, max_false: 0.8129035234451294, correct: True
in: torch.Size([56, 3584]), out: torch.Size([3584]), max_true: 0.8009151220321655, max_false: 0.7979446053504944, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.8064238429069519, max_false: 0.7983027696609497, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7197338938713074, max_false: 0.7715271711349487, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7850790023803711, max_false: 0.6585046052932739, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.5390090346336365, max_false: 0.5088029503822327, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8524079918861389, max_false: 0.6663205623626709, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.8041560053825378, max_false: 0.7799776792526245, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7973787784576416, max_false: 0.6955121755599976, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.713114321231842, max_false: 0.6252475380897522, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7959733605384827, max_false: 0.7948992252349854, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8784751296043396, max_false: 0.8797627091407776, correct: False
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.9443882703781128, max_false: 0.8304887413978577, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.6738711595535278, max_false: 0.600582480430603, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.853674054145813, max_false: 0.882024884223938, correct: False
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.4993048310279846, max_false: 0.6139966249465942, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.9201935529708862, max_false: 0.7977253794670105, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8166744709014893, max_false: 0.7427029609680176, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8249768018722534, max_false: 0.6650181412696838, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7372550964355469, max_false: 0.6987826228141785, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.862652063369751, max_false: 0.7145971059799194, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6529645323753357, max_false: 0.7381633520126343, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.9146732687950134, max_false: 0.7534517049789429, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.672237753868103, max_false: 0.6305025815963745, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8075844645500183, max_false: 0.7193063497543335, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.6931624412536621, max_false: 0.6321166157722473, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.7811200618743896, max_false: 0.7578778862953186, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8423416018486023, max_false: 0.6813664436340332, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7641654014587402, max_false: 0.6866020560264587, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8141827583312988, max_false: 0.7339749336242676, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.9006617665290833, max_false: 0.6757128238677979, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8098418712615967, max_false: 0.704735279083252, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.8327887058258057, max_false: 0.7636322379112244, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.7270440459251404, max_false: 0.7191908955574036, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8447732329368591, max_false: 0.759814441204071, correct: True
in: torch.Size([56, 3584]), out: torch.Size([3584]), max_true: 0.5138394832611084, max_false: 0.7565155029296875, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8108991980552673, max_false: 0.6992664933204651, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.825224757194519, max_false: 0.7786169052124023, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.867910623550415, max_false: 0.7560538649559021, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7438523769378662, max_false: 0.7325414419174194, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8399519920349121, max_false: 0.8680582642555237, correct: False
in: torch.Size([56, 3584]), out: torch.Size([3584]), max_true: 0.7620776891708374, max_false: 0.7120991349220276, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.7676295638084412, max_false: 0.7102717757225037, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8502417802810669, max_false: 0.8299341201782227, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8720499873161316, max_false: 0.5237302184104919, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8183302283287048, max_false: 0.4353249967098236, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8856572508811951, max_false: 0.8648344278335571, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8932811617851257, max_false: 0.89919114112854, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7854336500167847, max_false: 0.8029845356941223, correct: False
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.7734130620956421, max_false: 0.689720630645752, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8997949957847595, max_false: 0.770274817943573, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7643274664878845, max_false: 0.6753495931625366, correct: True
in: torch.Size([64, 3584]), out: torch.Size([3584]), max_true: 0.8785651326179504, max_false: 0.659532904624939, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.769404947757721, max_false: 0.6878489255905151, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.810745894908905, max_false: 0.78555828332901, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.47453123331069946, max_false: 0.669713020324707, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8175879120826721, max_false: 0.5440890789031982, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7126789689064026, max_false: 0.6095607876777649, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8978244066238403, max_false: 0.697504460811615, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.861598551273346, max_false: 0.6582526564598083, correct: True
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8244408965110779, max_false: 0.7983275055885315, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.690183162689209, max_false: 0.6176354289054871, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7085529565811157, max_false: 0.6369773745536804, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.5148528814315796, max_false: 0.6704124808311462, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.8252077102661133, max_false: 0.732952356338501, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.6710103750228882, max_false: 0.6827015280723572, correct: False
in: torch.Size([48, 3584]), out: torch.Size([3584]), max_true: 0.9056604504585266, max_false: 0.8692474365234375, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.858282208442688, max_false: 0.8312252759933472, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8199133276939392, max_false: 0.8165532350540161, correct: True
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.7263831496238708, max_false: 0.7575364112854004, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8537570834159851, max_false: 0.7728581428527832, correct: True
in: torch.Size([32, 3584]), out: torch.Size([3584]), max_true: 0.6658827662467957, max_false: 0.699182391166687, correct: False
in: torch.Size([40, 3584]), out: torch.Size([3584]), max_true: 0.8535942435264587, max_false: 0.8437173366546631, correct: True
