experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8927846550941467, max_false: 0.8422267436981201, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8549080491065979, max_false: 0.7983372211456299, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8854406476020813, max_false: 0.8909969329833984, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8124646544456482, max_false: 0.7530823945999146, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9101691246032715, max_false: 0.867499053478241, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8592897057533264, max_false: 0.7814136743545532, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8626114726066589, max_false: 0.8472747206687927, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8228152990341187, max_false: 0.831672728061676, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8863899111747742, max_false: 0.890346348285675, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8478479981422424, max_false: 0.838047981262207, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8713095784187317, max_false: 0.8415555953979492, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8459299802780151, max_false: 0.8343600034713745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9070868492126465, max_false: 0.874154806137085, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8475298881530762, max_false: 0.7679217457771301, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8986400365829468, max_false: 0.8285319209098816, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8321235775947571, max_false: 0.7536354660987854, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.903138279914856, max_false: 0.8896492123603821, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8715023398399353, max_false: 0.8283777832984924, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8804314136505127, max_false: 0.8435642719268799, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8235583305358887, max_false: 0.7919145822525024, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.833506166934967, max_false: 0.8538032174110413, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8338122367858887, max_false: 0.7819834351539612, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8787364959716797, max_false: 0.882271945476532, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8813872933387756, max_false: 0.8443345427513123, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.864452064037323, max_false: 0.8556591272354126, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7574107646942139, max_false: 0.712600827217102, correct: True
