experiment run details:
  dataset: openworld
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378812909126282, max_false: 0.9095116257667542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9147234559059143, max_false: 0.8763395547866821, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9287328124046326, max_false: 0.9370346069335938, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8827234506607056, max_false: 0.8461360931396484, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9553524255752563, max_false: 0.943497896194458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9341232776641846, max_false: 0.8961644172668457, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.929122805595398, max_false: 0.9268773794174194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9106855988502502, max_false: 0.9146056175231934, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9405273795127869, max_false: 0.9448089599609375, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.911632776260376, max_false: 0.9040685296058655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342221021652222, max_false: 0.924839198589325, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9374278783798218, max_false: 0.9288788437843323, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9598283171653748, max_false: 0.9513102769851685, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9370725750923157, max_false: 0.9047756791114807, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9516552686691284, max_false: 0.9114999175071716, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9010434746742249, max_false: 0.8544291257858276, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9516686797142029, max_false: 0.9486396312713623, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9385371208190918, max_false: 0.9189103245735168, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9361609816551208, max_false: 0.9161778092384338, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9071052670478821, max_false: 0.8867167830467224, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9119898080825806, max_false: 0.9223753809928894, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9068856835365295, max_false: 0.880791187286377, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9371758699417114, max_false: 0.9438753128051758, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9470392465591431, max_false: 0.9283466339111328, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9288711547851562, max_false: 0.9251481294631958, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8508875370025635, max_false: 0.8242953419685364, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9615182876586914, max_false: 0.9429937601089478, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9329162836074829, max_false: 0.9164586067199707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9529497027397156, max_false: 0.9479427933692932, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.888807475566864, max_false: 0.8849077224731445, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8993911147117615, max_false: 0.9061400890350342, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9131338596343994, max_false: 0.9142245650291443, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9400054812431335, max_false: 0.9095420837402344, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8961542844772339, max_false: 0.8660457134246826, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8799258470535278, max_false: 0.8380365967750549, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9265193939208984, max_false: 0.9104094505310059, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9064190983772278, max_false: 0.8882117867469788, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9150617122650146, max_false: 0.8738681674003601, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.955549955368042, max_false: 0.9558929800987244, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.961846649646759, max_false: 0.9360584616661072, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.941777229309082, max_false: 0.909522533416748, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8903740048408508, max_false: 0.8621054291725159, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9499852061271667, max_false: 0.9479454159736633, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8716355562210083, max_false: 0.8835935592651367, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9427341818809509, max_false: 0.8957780003547668, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8792814612388611, max_false: 0.8414338827133179, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9490496516227722, max_false: 0.9262911677360535, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170946478843689, max_false: 0.8791000247001648, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9475288987159729, max_false: 0.9348878264427185, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182376861572266, max_false: 0.8988533020019531, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9444398283958435, max_false: 0.9329182505607605, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8665542006492615, max_false: 0.8498863577842712, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9290115833282471, max_false: 0.9368653893470764, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8466035723686218, max_false: 0.8121466040611267, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9523196816444397, max_false: 0.8925594687461853, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9432926774024963, max_false: 0.8761793375015259, correct: True
